id,Proposal_no,user_id,Moef_file_no,Proposal_Name,category,user_agency_name,area_applied,date_from_ua_to_nodal,State_Name,proposal_status,date_of_recomm,user_id1
42,FP/OR/MRL/3/2014,536,8-20/2015-FC,"Proposal for according permission for use of 2.000 ha. of forest land within total forest land of 400 ha. (Out of total prospecting lease area of 816 ha.) in Meenakshi B coal Block and Dip-side of Meenakshi coal block located in Hemgir Tahasil in Sundargarh Forest Division of Sundargarh District of Odisha for undertaking exploratory drilling of 50 no. of boreholes of 6‚Äù dia and 50 no. of sumps of 20MtX20mtX0.5Mt diamantine (50 boreholes @ 0.0000018232 ha each totalling 0.0001 ha. and digging of 50 sumps @ 0.04 ha. each totalling 2.00 ha.) by M/s Orissa Integrated Power Limited (a wholly owned subsidiary of the Power Finance Corporation Limited, A Government of India Undertaking),(Meenakshi B & Dip Side of Meenakshi).",Mining,ORISSA INTEGRATED POWER LIMITED,400,8-Dec-14,Orissa,IN-PRINCIPLE,13-Jul-15,536
126,FP/OR/MRL/14/2014,1555,8-17/2015-FC,"Proposal for according permission for use of 6.5495 hectares of forest land within total Mining lease area of 185.81 ha. (entirely within Mahagiri DPF) in Balipada ‚Äì Mahagiri Chromite Mining Lease located in Sukinda Forest Range of Cuttack Forest Division in Jajpur district, Odisha for undertaking exploratory drilling of 82 no. of boreholes of 4‚Äù dia (1.64 ha for construction of road) by M/s Odisha Mining Corporation Ltd(Sukinda)<div style=""display:none"">quetiapin ritalin <a href=""http://markenavntablet.site/quetiapin-m?¶rke-navn.asp"">quetiapin und valdoxan</a> quetiapin wirkstoff</div>",Mining,ODISHA MINING CORPORATION LTD,185.81,7-Dec-14,Orissa,IN-PRINCIPLE,9-Apr-15,1555
115,FP/OR/MRL/12/2014,1401,NA,Tentuloi Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,231,3-Dec-14,Orissa,Pending at CF/CCF,,1401
113,FP/OR/MRL/10/2014,1401,NA,Belpahar and Dip side (Dip side of Lakhanpur) Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,456,2-Dec-14,Orissa,Pending with UA,,1401
103,FP/OR/MRL/5/2014,1401,NA,Tribira Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,0,1-Dec-14,Orissa,Pending at CF/CCF,,1401
108,FP/OR/MRL/6/2014,1401,NA,Balabhadra West Extension Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,0,29-Nov-14,Orissa,Pending with UA,,1401
114,FP/OR/MRL/11/2014,1401,NA,Ghogarpalli and it's Dip Extn. Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,704,28-Nov-14,Orissa,Pending with UA,,1401
116,FP/OR/MRL/13/2014,1401,NA,Phuljhari East and West Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,221,27-Nov-14,Orissa,Pending with UA,,1401
111,FP/OR/MRL/8/2014,1401,NA,Burapahar Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,294,26-Nov-14,Orissa,Pending with UA,,1401
109,FP/OR/MRL/7/2014,1401,NA,Brahmani Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,576,26-Nov-14,Orissa,Pending at DFO/DCF,,1401
112,FP/OR/MRL/9/2014,1401,NA,Chatabar East Coal Block,Mining,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,83,25-Oct-14,Orissa,Draft,,1401
29,FP/OR/MRL/1/2014,473,8-04/2015-FC,"Chandrabila, Talcher Coalfields",Mining,NTPC,249,22-Sep-14,Orissa,Asked for Improvement by FAC,9-Jan-15,473
382,FP/PB/MRL/3/2016,16822,NA,House,Mining,HARJINDER SINGH,0.062,5-Apr-16,Punjab,Draft,,16822
378,FP/PB/MRL/1/2016,30511,NA,Industrial Training Institute Niari,Mining,INDUSTRIYAL TRIANING INSTITUTE,0.3603,29-Mar-16,Punjab,Draft,,30511
379,FP/PB/MRL/2/2016,30511,NA,Industrial Training Institute,Mining,INDUSTRIYAL TRIANING INSTITUTE,0.3603,17-Mar-16,Punjab,Draft,,30511
208,FP/PB/MRL/3/2015,6389,NA,"Diversion of 0.096288 ha. forest land ( All ready approved area 0.0170 Ha + Additional Area 0.079288 ha ) for approach road for setting up a retail outlet of Indian Oil Corporation Ltd at village Kaunterpur on Jalandhar to Pathankot road , km Stone 95 L/Side Existing NH 1A (New NH 44) district Pathankot.",Mining,NEERAJ GUPTA DY MANAGER (RETAIL SALES) INDIAN OIL CORPORATION LIMITED PATHANKOT,0.07928,10-Mar-15,Punjab,Draft,,6389
207,FP/PB/MRL/2/2015,6389,NA,"Diversion of 0.096288 ha. forest land ( All ready approved area 0.0170 Ha + Additional Area 0.079288 ha ) for approach road for setting up a retail outlet of Indian Oil Corporation Ltd at village Kaunterpur on Jalandhar to Pathankot road , km Stone 95 L/Side Existing NH 1A (New NH 44) district Pathankot.",Mining,NEERAJ GUPTA DY MANAGER (RETAIL SALES) INDIAN OIL CORPORATION LIMITED PATHANKOT,0.079288,10-Mar-15,Punjab,Draft,,6389
541,FP/RJ/MRL/2/2017,30780,8-27/2019-FC,Zawar ML-03/89 Block for Lead & Zinc.,Mining,HINDUSTAN ZINC LIMITED,1422.97,26-Apr-19,Rajasthan,Pending at CF/CCF,27-Aug-19,30780
356,FP/RJ/MRL/9/2015,17351,NA,"Chari(NW)block<div style=""display:none"">quetiapin ritalin <a href=""http://markenavntablet.site/quetiapin-m?¶rke-navn.asp"">quetiapin und valdoxan</a> quetiapin wirkstoff</div>",Mining,GEOLOGICAL SURVEY OF INDIA,100,1-Jul-16,Rajasthan,Under Examination,,17351
229,FP/RJ/MRL/6/2015,6812,NA,NEAR VILLAGE: AMLITEH.: PINWADADIST. : SIROHI(PAHADKALA FOREST BLOCK),Mining,RAVI REALMART PVT LTD,240,22-Aug-15,Rajasthan,Pending with UA,,6812
230,FP/RJ/MRL/7/2015,6815,NA,NEAR VILLAGE : KAGDRATEHSIL : BALIDIST. PALI(NANA FOREST BLOCK),Mining,TRINITY INFOPARK PVT LTD,161.17,9-Apr-15,Rajasthan,Pending at DFO/DCF,,6815
232,FP/RJ/MRL/8/2015,6894,NA,NEAR VILLAGE: VIRAMPURA TEHSIL: BALI DIST. PALI (NANA FOREST BLOCK),Mining,GEETANJALI MARBLE,697.78,9-Apr-15,Rajasthan,Pending at DFO/DCF,,6894
227,FP/RJ/MRL/4/2015,6811,NA,"NEAR VILLAGE BASANTGARH TEH: PINWADA DIST. SIROHI (RAMPURA & RAMESWAR BLOCK)<div style=""display:none"">quetiapin ritalin <a href=""http://markenavntablet.site/quetiapin-m?¶rke-navn.asp"">markenavntablet.site</a> quetiapin wirkstoff</div>",Mining,RAHUL MARBLES PVT LTD,632.9486,8-Apr-15,Rajasthan,Pending with UA,,6811
226,FP/RJ/MRL/3/2015,6907,NA,NEAR VILLAGE AMLI TEHSIL: PINWADA DIST.: SIROHI (PHADKALA BLOCK ),Mining,KRISHNA MARBLE,300.2649,8-Apr-15,Rajasthan,PENDING WITH-SG,,6907
848,FP/TN/MRL/2/2019,100845,NA,PROPOSED NEW QUARRY,Mining,SIVARAJ,0,20-Nov-19,Tamil Nadu,Under Examination,,100845
815,FP/TN/MRL/1/2019,94530,NA,Paulpandi Stone Quarry,Mining,PAULPANDI STONE QUARRY,0,20-Jul-19,Tamil Nadu,Under Examination,,94530
370,FP/TN/MRL/1/2016,12695,NA,Rasimalai Block,Mining,ATOMIC MINERALS DIRECTORATE FOR EXPLORATION AND RESEARCH BENGALURU,64.03,20-Dec-16,Tamil Nadu,Draft,,12695
